segment_id,distance,entanglement_speed_factor,gate_time_ns,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_time_ns_contribution,use_log_scale
2_2_6,56.23413251903491,56.23413251903491,681292.0690579595,1893020366.7410796,7.554940645170416e-06,0.9928458119260942,4.898670628812228e-05,True
2_3_1,56.23413251903491,177.82794100389228,14677.992676220676,595384268.4601054,4.01751349027846e-06,1.0069227313373836,1.0323096850539541e-07,True
2_3_2,56.23413251903491,177.82794100389228,31622.776601683792,595735549.1764791,3.923666973895132e-06,1.0000148357545635,4.869828655194173e-07,True
2_3_3,56.23413251903491,177.82794100389228,68129.20690579608,596628289.8671509,3.9073242124078735e-06,1.0000672029753723,2.2507972923191087e-06,True
2_3_4,56.23413251903491,177.82794100389228,146779.92676220674,598713084.2061799,4.004789886591942e-06,0.9757538178588144,1.0411916360144213e-05,True
2_3_5,56.23413251903491,177.82794100389228,316227.7660168379,614924564.9959908,0.0005122118405418,0.9553402769511212,0.0150616466712737,True
2_3_6,56.23413251903491,177.82794100389228,681292.0690579595,819435290.2118238,0.0107594028848092,0.3211462437215624,0.7767978924814098,True
2_4_1,56.23413251903491,562.341325190349,14677.992676220676,189397594.7169597,0.0015081680995912,1.000423432180811,0.0006798282527723,True
2_4_2,56.23413251903491,562.341325190349,31622.776601683792,190360660.90814543,0.0021260188446218,1.0249014231025952,0.0001790013536588,True
2_4_3,56.23413251903491,562.341325190349,68129.20690579608,196512790.99347505,0.0299634075824481,0.9305210143978038,0.0360986706653903,True
2_4_4,56.23413251903491,562.341325190349,146779.92676220674,237833195.55325305,0.1258828297677027,0.6738212642651931,0.5388166953302594,True
2_4_5,56.23413251903491,562.341325190349,316227.7660168379,391746576.111964,0.0493564705612343,0.0031646332719223,1.040518484650932,True
2_4_6,56.23413251903491,562.341325190349,681292.0690579595,774995128.3810294,0.0122605992424964,0.000312214136368,0.9934513211049636,True
2_5_1,56.23413251903491,1778.2794100389228,14677.992676220676,86169210.69931357,1.035037895952285,0.5374061921616895,0.0920195045117782,True
2_5_2,56.23413251903491,1778.2794100389228,31622.776601683792,113245412.3985374,0.4088220202947876,0.6821363219964326,0.3410563503307963,True
2_5_3,56.23413251903491,1778.2794100389228,68129.20690579608,150579465.1554522,0.5464451839156342,0.4300387627881425,0.5607030152287729,True
2_5_4,56.23413251903491,1778.2794100389228,146779.92676220674,218063256.5997637,0.1677697244210133,0.0406607362495583,0.8934147221302722,True
2_5_5,56.23413251903491,1778.2794100389228,316227.7660168379,390496892.9732741,0.0541754746627135,0.0012545903806359,0.9653831514046014,True
2_5_6,56.23413251903491,1778.2794100389228,681292.0690579595,775150855.9140146,0.0126262086786573,0.0002461295178889,1.1125530912913322,True
2_6_1,56.23413251903491,5623.413251903491,14677.992676220676,117252872.29941478,0.812333216023466,1.0153830086361293,0.235337277423093,True
2_6_2,56.23413251903491,5623.413251903491,31622.776601683792,120805134.48410688,0.4982998713171264,0.5288703222242657,0.164024850931082,True
2_6_3,56.23413251903491,5623.413251903491,68129.20690579608,136235419.81826887,0.6110528839401473,0.1346160780084191,0.4385926345977822,True
2_6_4,56.23413251903491,5623.413251903491,146779.92676220674,220334926.56527305,0.2066334922211965,0.0508779988634329,0.8122069874821449,True
2_6_5,56.23413251903491,5623.413251903491,316227.7660168379,390892063.9195963,0.0536511837806807,0.0009366131371502,0.9675847069519762,True
2_6_6,56.23413251903491,5623.413251903491,681292.0690579595,775001867.0260026,0.0115246635054861,0.0001875854952505,0.9873694616964124,True
3_1_1,177.82794100389228,17.78279410038923,14677.992676220676,5943439059.905221,3.9857571333036013e-07,1.00305194398829,9.712359600205255e-10,True
3_1_2,177.82794100389228,17.78279410038923,31622.776601683792,5943575475.674323,4.035846769662487e-07,0.9731197258207168,4.8249536730808904e-09,True
3_1_3,177.82794100389228,17.78279410038923,68129.20690579608,5944397857.639757,3.993071477482109e-07,1.0019814944454055,2.2475067659403522e-08,True
3_1_4,177.82794100389228,17.78279410038923,146779.92676220674,5945800756.270007,3.9408912382470643e-07,1.0175579952896558,1.0424201256644492e-07,True
3_1_5,177.82794100389228,17.78279410038923,316227.7660168379,5948909376.037099,3.8575312988723524e-07,0.9997798346798936,4.883673067505046e-07,True
3_1_6,177.82794100389228,17.78279410038923,681292.0690579595,5958819492.791303,3.980846526179521e-07,1.006451281995183,2.2404904518518807e-06,True
3_2_1,177.82794100389228,56.23413251903491,14677.992676220676,1882883922.775399,4.057146988342389e-06,1.0008895845089587,1.0323995530435984e-08,True
3_2_2,177.82794100389228,56.23413251903491,31622.776601683792,1882523987.0372076,3.996003083337337e-06,1.0034959004864,4.759831443951328e-08,True
3_2_3,177.82794100389228,56.23413251903491,68129.20690579608,1883235155.4107728,4.060725754589767e-06,0.994281254911613,2.246117336176517e-07,True
3_2_4,177.82794100389228,56.23413251903491,146779.92676220674,1885406510.749845,3.800838297411049e-06,0.9721824904829272,1.0055445954716566e-06,True
3_2_5,177.82794100389228,56.23413251903491,316227.7660168379,1889070030.8424523,3.932862715407627e-06,0.9945934063737312,5.239692751817138e-06,True
3_2_6,177.82794100389228,56.23413251903491,681292.0690579595,1896498114.378212,9.092607983214563e-06,0.9792374656763942,0.0002831187828656,True
3_3_1,177.82794100389228,177.82794100389228,14677.992676220676,597939850.9686878,4.05174775444691e-05,1.0065562218117683,1.0533033170818659e-07,True
3_3_2,177.82794100389228,177.82794100389228,31622.776601683792,598329529.9217545,0.000137537250036,1.0116555805737455,5.286241256362258e-07,True
3_3_3,177.82794100389228,177.82794100389228,68129.20690579608,600079220.184646,0.0001287299376163,1.0241879446693636,7.649947607658286e-05,True
3_3_4,177.82794100389228,177.82794100389228,146779.92676220674,602445907.1051317,0.0021647773948787,0.9981620489758504,0.0011320239537913,True
3_3_5,177.82794100389228,177.82794100389228,316227.7660168379,645493469.2132081,0.0223457148085985,0.9657250184571042,0.0675299989334543,True
3_3_6,177.82794100389228,177.82794100389228,681292.0690579595,902244917.8640016,0.0799476226698307,0.1414644336040737,0.8873821978487592,True
3_4_1,177.82794100389228,562.341325190349,14677.992676220676,203256881.25563747,0.3075990709641669,0.8972023650215015,0.000795552505884,True
3_4_2,177.82794100389228,562.341325190349,31622.776601683792,209081609.88120985,0.26961891449582,0.8634992677901154,0.0995874742120451,True
3_4_3,177.82794100389228,562.341325190349,68129.20690579608,230963682.4927563,0.4237365384570725,0.7980431041419825,0.2288051842166708,True
3_4_4,177.82794100389228,562.341325190349,146779.92676220674,307250192.2649976,0.5262132787532567,0.2965649508040127,0.697467780135973,True
3_4_5,177.82794100389228,562.341325190349,316227.7660168379,493291435.8503729,0.3031932598013521,0.0150067172949717,0.7864590108282348,True
