segment_id,coherence_time,entanglement_fidelity,operation_fidelity,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,operation_fidelity_contribution,use_log_scale
2_1_4,5623413251.903468,0.9998221720589962,0.9943765867480968,0.187744891465081,0.3676561604430835,0.0092741283339985,0.7739070892006062,True
2_1_5,5623413251.903468,0.9998221720589962,0.9822172058996111,0.3777606133527565,0.061116282647943,0.0016231513064423,1.120435032798501,True
2_1_6,5623413251.903468,0.9998221720589962,0.9437658674809656,0.7946723563293178,0.0066738900541611,0.0002756144836029,1.1893344101438657,True
2_2_1,5623413251.903468,0.9994376586748096,0.9998221720589962,0.0939332442154354,1.0852387887695996,0.017850796339288,0.0168614803630543,True
2_2_2,5623413251.903468,0.9994376586748096,0.9994376586748096,0.1005285560370645,1.0534990615996092,0.0207194722219945,0.0547613291738377,True
2_2_3,5623413251.903468,0.9994376586748096,0.9982217205899612,0.1233289721650711,0.9004476264375376,0.0198163772098872,0.1907610881295294,True
2_2_4,5623413251.903468,0.9994376586748096,0.9943765867480968,0.1906280063887319,0.3650169156705348,0.0103286528547755,0.7316290706582687,True
2_2_5,5623413251.903468,0.9994376586748096,0.9822172058996111,0.3810344484397063,0.0526354171122004,0.0015299071052533,1.1348607406635969,True
2_2_6,5623413251.903468,0.9994376586748096,0.9437658674809656,0.7954885285173112,0.0079671454252686,0.0004196449182118,1.200698976799646,True
2_3_1,5623413251.903468,0.9982217205899612,0.9998221720589962,0.1019834146251577,0.9295789208304536,0.0349884761571247,0.014223973787311,True
2_3_2,5623413251.903468,0.9982217205899612,0.9994376586748096,0.1092509297453186,1.0106578458788216,0.0448546614442885,0.0465399225868293,True
2_3_3,5623413251.903468,0.9982217205899612,0.9982217205899612,0.1319626614962056,0.8230474702247633,0.0450326757998451,0.1744183955764823,True
2_3_4,5623413251.903468,0.9982217205899612,0.9943765867480968,0.1980280031583198,0.3682038858105826,0.0201630868380809,0.7301830328515186,True
2_3_5,5623413251.903468,0.9982217205899612,0.9822172058996111,0.3874128968088542,0.0570897313190449,0.0024254947352767,1.119387722849696,True
2_3_6,5623413251.903468,0.9982217205899612,0.9437658674809656,0.7993828930706502,0.0067647945370921,0.0003667017971809,1.1891414071560635,True
2_4_1,5623413251.903468,0.9943765867480964,0.9998221720589962,0.1309619143500771,0.8132367792197679,0.2281484031490855,0.0131844390852195,True
2_4_2,5623413251.903468,0.9943765867480964,0.9994376586748096,0.1369182998714779,0.8303778135019245,0.2270360915874509,0.0327146749183359,True
2_4_3,5623413251.903468,0.9943765867480964,0.9982217205899612,0.1590628705513644,0.6862975821765972,0.1655043308714269,0.1449348209995019,True
2_4_4,5623413251.903468,0.9943765867480964,0.9943765867480968,0.2238572154539776,0.3418140347155535,0.0950584227794155,0.7015196871132738,True
2_4_5,5623413251.903468,0.9943765867480964,0.9822172058996111,0.4078371286137908,0.0525692058813176,0.0163871838880452,1.1172418935446866,True
2_4_6,5623413251.903468,0.9943765867480964,0.9437658674809656,0.8124798871937315,0.0070848429995479,0.0015919879513132,1.1944111081438125,True
2_5_1,5623413251.903468,0.9822172058996108,0.9998221720589962,0.2140177884178878,0.2751051129236183,0.7203284034553639,0.0058788258597322,True
2_5_2,5623413251.903468,0.9822172058996108,0.9994376586748096,0.2214006122927633,0.2794725466501466,0.6925096589937487,0.008751967480501,True
2_5_3,5623413251.903468,0.9822172058996108,0.9982217205899612,0.2411532091461317,0.2974882717671713,0.6876378688318023,0.0616640123185609,True
2_5_4,5623413251.903468,0.9822172058996108,0.9943765867480968,0.3017794976122178,0.1964036582671462,0.4832527693631548,0.3688789410046097,True
2_5_5,5623413251.903468,0.9822172058996108,0.9822172058996111,0.4739857025470898,0.0571483413470082,0.129454598512332,0.998449161380766,True
2_5_6,5623413251.903468,0.9822172058996108,0.9437658674809656,0.8501276532360358,0.007233310624074,0.0187469437462238,1.205428312459485,True
2_6_1,5623413251.903468,0.9437658674809652,0.9998221720589962,0.4493289410425722,0.0378305066673004,0.969567419472783,0.0007224443999619,True
2_6_2,5623413251.903468,0.9437658674809652,0.9994376586748096,0.4546503345107346,0.0388564370949945,0.9669733390049812,0.0022115685030642,True
2_6_3,5623413251.903468,0.9437658674809652,0.9982217205899612,0.4703094285554526,0.0339156528689914,0.95050083604498,0.0076811459323167,True
2_6_4,5623413251.903468,0.9437658674809652,0.9943765867480968,0.5183071337309969,0.0297006112842285,0.916951993696455,0.0686836139471428,True
2_6_5,5623413251.903468,0.9437658674809652,0.9822172058996111,0.6557214016243544,0.0197491124538222,0.6152095225620288,0.4513739226172971,True
2_6_6,5623413251.903468,0.9437658674809652,0.9437658674809656,0.955051209765618,0.0062941815920661,0.1614523715564887,1.090584790266787,True
3_1_1,17782794100.389156,0.9998221720589962,0.9998221720589962,0.0324810420080345,0.9677921170557184,0.0136313085866358,0.026167346355436,True
3_1_2,17782794100.389156,0.9998221720589962,0.9994376586748096,0.0404679927440183,0.7933180429718242,0.0100032084717986,0.1686060546467733,True
