experiment_kind,experiment_anchor,experiment_sweep_param,sweep_index,sweep_value,replicate_index,seed,theta,num_runs,shots,distance,gate_speed_factor,client_gate_speed_factor,entanglement_speed_factor,ent_sweep_mode,Tsrv_est_ms,Tcc_est_ms,Tent_est_ms,Tmax_est_ms,Tmin_est_ms,zz_cost,xx_cost,zz_time,xx_time,total_time,energy,sweep_low,sweep_high
sweep,light,distance,5,42.169650342858226,6,65844,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282054,-0.02071937261594925,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,7,66841,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282054,-0.02071937261594925,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,8,67838,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282054,-0.02071937261594923,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,9,68835,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282057,-0.020719372615949232,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,0,69832,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.020719372615949232,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,1,70829,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.02071937261594924,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,2,71826,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.02071937261594923,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,3,72823,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.020719372615949243,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,4,73820,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282054,-0.020719372615949236,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,5,74817,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.020719372615949225,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,6,75814,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.020719372615949236,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,7,76811,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282054,-0.020719372615949236,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,8,77808,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.020719372615949232,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,9,78805,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282057,-0.020719372615949236,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,0,79802,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282054,-0.020719372615949232,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,1,80799,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282054,-0.02071937261594924,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,2,81796,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282057,-0.020719372615949225,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,3,82793,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282054,-0.02071937261594923,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,4,83790,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282054,-0.02071937261594923,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,5,84787,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282054,-0.02071937261594923,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,6,85784,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282057,-0.02071937261594923,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,7,86781,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282057,-0.020719372615949236,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,8,87778,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282054,-0.020719372615949243,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
