segment_id,distance,entanglement_speed_factor,gate_speed_factor,client_gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale,timing_mode
3_2_3,177.82794100389228,112.46826503806972,0.46768748484023687,1.0,943569625.9323097,4.110354546094374e-06,0.9995796354460659,2.8278778736147644e-06,True,factor
3_2_4,177.82794100389228,112.46826503806972,1.4789576852506185,1.0,953765090.1152452,0.0010082659060111126,1.0049905788511675,0.006768257080125168,True,factor
3_2_5,177.82794100389228,112.46826503806972,4.676874848402369,1.0,1339645924.6813054,0.00601427250890788,0.18917537685649125,0.8954761392452831,True,factor
3_2_6,177.82794100389228,112.46826503806972,14.789576852506187,1.0,3672173969.9750366,0.0007191182275299628,3.5552513197854755e-08,0.9997817661152311,True,factor
3_3_1,177.82794100389228,355.6558820077839,0.04676874848402369,1.0,304802398.13030946,0.031746888733668585,0.9783575372232728,0.0016006017034901994,True,factor
3_3_2,177.82794100389228,355.6558820077839,0.14789576852506187,1.0,308736254.5924109,0.04792088388392663,0.9863214447306359,0.004856817824087707,True,factor
3_3_3,177.82794100389228,355.6558820077839,0.46768748484023687,1.0,333141927.39221555,0.08994110847775402,0.926416805705362,0.08262278141408957,True,factor
3_3_4,177.82794100389228,355.6558820077839,1.4789576852506185,1.0,507055617.98409796,0.06527492434751038,0.03563260731821725,0.916283904341112,True,factor
3_3_5,177.82794100389228,355.6558820077839,4.676874848402369,1.0,1260868636.3653908,0.007056874710833829,2.794524883201741e-07,0.9934055440628573,True,factor
3_3_6,177.82794100389228,355.6558820077839,14.789576852506187,1.0,3672246909.601845,0.0007292187797979508,1.2536733156936097e-08,0.9941617860965871,True,factor
3_4_1,177.82794100389228,1124.682650380696,0.04676874848402369,1.0,199857485.4621305,1.1085750830295962,0.4185565363584399,0.009628512222904588,True,factor
3_4_2,177.82794100389228,1124.682650380696,0.14789576852506187,1.0,216656002.1306242,0.9539663525741549,0.30037775033726893,0.12854164971431378,True,factor
3_4_3,177.82794100389228,1124.682650380696,0.46768748484023687,1.0,274076350.7327393,0.5536028915762985,0.06730726188417281,0.5036099904267076,True,factor
3_4_4,177.82794100389228,1124.682650380696,1.4789576852506185,1.0,499186195.9542715,0.06672870859405543,0.00010584348984859902,0.935513772364953,True,factor
3_4_5,177.82794100389228,1124.682650380696,4.676874848402369,1.0,1260833146.834744,0.007165781249126641,1.0775383566631733e-06,0.9935658461667737,True,factor
3_4_6,177.82794100389228,1124.682650380696,14.789576852506187,1.0,3672342727.663514,0.0007329142923380753,1.8567606760216853e-08,0.9994827208203106,True,factor
3_5_1,177.82794100389228,3556.558820077839,0.04676874848402369,1.0,196799956.99788237,0.9719532519394439,0.20258456918468995,0.040741930746883974,True,factor
3_5_2,177.82794100389228,3556.558820077839,0.14789576852506187,1.0,218152155.1621561,0.8904143657927126,0.2249561496805348,0.1838099193892969,True,factor
3_5_3,177.82794100389228,3556.558820077839,0.46768748484023687,1.0,274699779.71345484,0.5318821450651189,0.02739218603848173,0.4869194707060235,True,factor
3_5_4,177.82794100389228,3556.558820077839,1.4789576852506185,1.0,499224999.443188,0.06748404103581046,6.603363862013972e-05,0.9342574435496993,True,factor
3_5_5,177.82794100389228,3556.558820077839,4.676874848402369,1.0,1261502160.4562457,0.007067704541367844,1.397375654588768e-07,0.9958070123698466,True,factor
3_5_6,177.82794100389228,3556.558820077839,14.789576852506187,1.0,3672318950.7746124,0.0007122389039865977,1.4362377466937526e-08,0.9997493913162182,True,factor
3_6_1,177.82794100389228,11246.82650380696,0.04676874848402369,1.0,204014617.48778945,0.844246587018253,0.15558971211835898,0.13805310463994408,True,factor
3_6_2,177.82794100389228,11246.82650380696,0.14789576852506187,1.0,221219197.01493257,0.982383154426358,0.03161458492789941,0.16556280508921792,True,factor
3_6_3,177.82794100389228,11246.82650380696,0.46768748484023687,1.0,273839028.0059241,0.5349551535007345,0.00800306939650485,0.48281287836277653,True,factor
3_6_4,177.82794100389228,11246.82650380696,1.4789576852506185,1.0,499110220.22515666,0.0638021838358803,4.45544577279233e-05,0.9308724031375624,True,factor
3_6_5,177.82794100389228,11246.82650380696,4.676874848402369,1.0,1260984486.7378051,0.007104580787205973,1.428794106488237e-07,0.9935445226198952,True,factor
3_6_6,177.82794100389228,11246.82650380696,14.789576852506187,1.0,3672121799.029306,0.0007295327822741907,9.209027544970753e-09,0.998168239240072,True,factor
4_1_1,562.341325190349,35.56558820077842,0.04676874848402369,1.0,2976711124.3012676,3.999398890139233e-06,1.0220519839500903,2.8647907309189457e-09,True,factor
4_1_2,562.341325190349,35.56558820077842,0.14789576852506187,1.0,2977346156.670569,3.9882337486838565e-06,1.0066050863815899,2.8323409259228752e-08,True,factor
4_1_3,562.341325190349,35.56558820077842,0.46768748484023687,1.0,2978146539.3137527,4.015811912951957e-06,1.0020165507941443,2.8686815647531853e-07,True,factor
4_1_4,562.341325190349,35.56558820077842,1.4789576852506185,1.0,2981568858.47869,3.992507083035976e-06,0.9890972461746262,2.8423077283367866e-06,True,factor
4_1_5,562.341325190349,35.56558820077842,4.676874848402369,1.0,3004507447.631909,0.00027800201485425103,0.9953392872107061,0.0034220866927351847,True,factor
4_1_6,562.341325190349,35.56558820077842,14.789576852506187,1.0,4159477311.4071603,0.006070870611599215,0.21319086030350387,0.8918850572909696,True,factor
4_2_1,562.341325190349,112.46826503806972,0.04676874848402369,1.0,946628283.0422579,0.00044439424507619277,1.0021545231817113,2.8548714400803104e-08,True,factor
4_2_2,562.341325190349,112.46826503806972,0.14789576852506187,1.0,947512098.5314296,0.0007582428799806207,0.9992237209806097,0.0002797101031535198,True,factor
4_2_3,562.341325190349,112.46826503806972,0.46768748484023687,1.0,950436064.2766283,0.0027236783917842047,1.0029002215940905,0.0008205621831834107,True,factor
4_2_4,562.341325190349,112.46826503806972,1.4789576852506185,1.0,995161601.0623436,0.031054618676294245,0.9702081761202549,0.04103796849966321,True,factor
4_2_5,562.341325190349,112.46826503806972,4.676874848402369,1.0,1503263713.0331433,0.062333923018753984,0.064350321781868,0.9151218297034031,True,factor
4_2_6,562.341325190349,112.46826503806972,14.789576852506187,1.0,3875196145.6455126,0.007071516336799166,2.62404932899286e-08,0.9956201653801876,True,factor
4_3_1,562.341325190349,355.6558820077839,0.04676874848402369,1.0,426176459.6468948,1.007909896397712,0.24462215488893438,0.00584144188159711,True,factor
4_3_2,562.341325190349,355.6558820077839,0.14789576852506187,1.0,438075483.10845137,0.9076541959672442,0.18412205899257822,0.020179126754196256,True,factor
4_3_3,562.341325190349,355.6558820077839,0.46768748484023687,1.0,488213733.07910043,0.8805992909742452,0.04881312384734542,0.0821999460130375,True,factor
4_3_4,562.341325190349,355.6558820077839,1.4789576852506185,1.0,703111262.9896586,0.42059931217297053,0.000534560924968562,0.5764529044585631,True,factor
4_3_5,562.341325190349,355.6558820077839,4.676874848402369,1.0,1464062645.1696649,0.06642141539841166,1.4890707299195094e-07,0.9366255591787046,True,factor
4_3_6,562.341325190349,355.6558820077839,14.789576852506187,1.0,3875493460.569463,0.007062735301657707,1.4420932055410257e-08,0.9905314043349447,True,factor
4_4_1,562.341325190349,1124.682650380696,0.04676874848402369,1.0,402572861.36311966,0.9711900116701756,0.061283840336645884,0.007587063718690294,True,factor
4_4_2,562.341325190349,1124.682650380696,0.14789576852506187,1.0,418686224.85230565,0.9743786965056529,0.047906498397440746,0.018071256204073353,True,factor
4_4_3,562.341325190349,1124.682650380696,0.46768748484023687,1.0,477801910.5090607,0.9284080363102466,0.011515895250490816,0.08768924339393126,True,factor
4_4_4,562.341325190349,1124.682650380696,1.4789576852506185,1.0,702170463.2617428,0.424021059120217,3.284417285261329e-05,0.577493419625775,True,factor
4_4_5,562.341325190349,1124.682650380696,4.676874848402369,1.0,1463831975.5843387,0.06574908079906407,1.3192729152196914e-07,0.9345535828580843,True,factor
